Atomic #,Element,# Neutrons of Most Stable Isotope,# Neutrons of This Isotope,Difference in Neutrons,Half-Life (s),Half-Life - Distance from Mean (s),Half-Life - Proportion of Mean,Half-Life - Orders of Magnitude Above/Below Mean
1,Hydrogen (H),0,2,2,388523520.0,0.0,1.0,0.0
2,Helium (He),2,0,-2,10000000000,6666666666.357994,2.999999999722194,0.477
2,Helium (He),2,4,2,0.807,-3333333332.835006,2.420999999775811e-10,-9.616
2,Helium (He),2,6,4,0.119,-3333333333.5230064,3.569999999669411e-11,-10.447
3,Lithium (Li),4,5,1,0.839,0.5823874975,3.269521133328256,0.514
3,Lithium (Li),4,6,2,0.178,-0.07861250250000001,0.6936528745320972,-0.159
3,Lithium (Li),4,8,4,0.009,-0.2476125025,0.03507233635274649,-1.455
3,Lithium (Li),4,9,5,0.0,-0.2566125025,0.0,0
4,Beryllium (Be),5,6,1,47650896000000.0,-2.019999618792832e+20,2.3589551362313606e-07,-6.627
4,Beryllium (Be),5,7,2,13.76,-2.020000095301792e+20,6.811880866740369e-20,-19.167
4,Beryllium (Be),5,8,3,0.022,-2.020000095301792e+20,1.0891088595079079e-22,-21.963
4,Beryllium (Be),5,9,4,1.01e+21,8.079999904698208e+20,4.999999764104486,0.699
4,Beryllium (Be),5,10,5,0.004,-2.020000095301792e+20,1.9801979263780144e-23,-22.703
5,Boron (B),6,10,4,0.01,0.0040233333333333345,1.673173452314557,0.224
5,Boron (B),6,12,6,0.005,-0.0009766666666666656,0.8365867261572785,-0.077
5,Boron (B),6,14,8,0.003,-0.0029766666666666657,0.5019520356943671,-0.299
6,Carbon (C),6,3,-3,0.127,-16427389203.947254,7.730991116257352e-12,-11.112
6,Carbon (C),6,4,-2,19.301,-16427389184.773254,1.1749280278337255e-09,-8.93
6,Carbon (C),6,5,-1,1221.84,-16427387982.234255,7.437822193297545e-08,-7.129
6,Carbon (C),6,8,2,180701280000.0,164273890795.92575,10.99999992422309,1.041
6,Carbon (C),6,9,3,2.449,-16427389201.625256,1.4908029325759255e-10,-9.827
6,Carbon (C),6,10,4,0.747,-16427389203.327255,4.547283751058458e-11,-10.342
6,Carbon (C),6,11,5,0.193,-16427389203.881254,1.1748671538879284e-11,-10.93
6,Carbon (C),6,12,6,0.092,-16427389203.982256,5.600403013351783e-12,-11.252
6,Carbon (C),6,13,7,0.046,-16427389204.028255,2.8002015066758914e-12,-11.553
6,Carbon (C),6,14,8,0.016,-16427389204.058254,9.739831327568317e-13,-12.011
6,Carbon (C),6,16,10,0.006,-16427389204.068254,3.6524367478381194e-13,-12.437
7,Nitrogen (N),7,5,-2,0.011,-67.81257777777776,0.00016218548711837677,-3.79
7,Nitrogen (N),7,6,-1,597.9,530.0764222222222,8.815518431643406,0.945
7,Nitrogen (N),7,9,2,7.13,-60.693577777777755,0.10512568392309331,-0.978
7,Nitrogen (N),7,10,3,4.173,-63.650577777777755,0.06152727615863512,-1.211
7,Nitrogen (N),7,11,4,0.619,-67.20457777777776,0.00912661968420684,-2.04
7,Nitrogen (N),7,12,5,0.336,-67.48757777777776,0.004954029424706782,-2.305
7,Nitrogen (N),7,13,6,0.136,-67.68757777777776,0.0020052023861908404,-2.698
7,Nitrogen (N),7,14,7,0.084,-67.73957777777775,0.0012385073561766956,-2.907
7,Nitrogen (N),7,15,8,0.023,-67.80057777777776,0.00033911510942933324,-3.47
8,Oxygen (O),8,5,-3,0.009,-4.71e+20,1.910828025477707e-23,-22.719
8,Oxygen (O),8,6,-2,70.62,-4.71e+20,1.499363057324841e-19,-18.824
8,Oxygen (O),8,7,-1,122.24,-4.71e+20,2.595329087048832e-19,-18.586
8,Oxygen (O),8,11,3,26.47,-4.71e+20,5.619957537154989e-20,-19.25
8,Oxygen (O),8,12,4,13.51,-4.71e+20,2.8683651804670914e-20,-19.542
8,Oxygen (O),8,13,5,3.42,-4.71e+20,7.261146496815286e-21,-20.139
8,Oxygen (O),8,14,6,2.25,-4.71e+20,4.777070063694268e-21,-20.321
8,Oxygen (O),8,15,7,0.097,-4.71e+20,2.059447983014862e-22,-21.686
8,Oxygen (O),8,16,8,0.077,-4.71e+20,1.6348195329087048e-22,-21.787
8,Oxygen (O),8,17,9,5.181e+21,4.7099999999999995e+21,11.0,1.041
8,Oxygen (O),8,18,10,0.0,-4.71e+20,0.0,0
9,Fluorine (F),10,8,-2,64.37,-3.546153846153846e+23,1.8152060737527117e-22,-21.741
9,Fluorine (F),10,9,-1,6584.34,-3.546153846153846e+23,1.8567553145336227e-20,-19.731
9,Fluorine (F),10,11,1,11.163,-3.546153846153846e+23,3.1479175704989157e-23,-22.502
9,Fluorine (F),10,12,2,4.158,-3.546153846153846e+23,1.172537960954447e-23,-22.931
9,Fluorine (F),10,13,3,4.23,-3.546153846153846e+23,1.1928416485900218e-23,-22.923
9,Fluorine (F),10,14,4,2.23,-3.546153846153846e+23,6.288503253796096e-24,-23.201
9,Fluorine (F),10,15,5,0.384,-3.546153846153846e+23,1.0828633405639913e-24,-23.965
9,Fluorine (F),10,16,6,0.08,-3.546153846153846e+23,2.255965292841649e-25,-24.647
9,Fluorine (F),10,17,7,0.008,-3.546153846153846e+23,2.2559652928416488e-26,-25.647
9,Fluorine (F),10,18,8,0.005,-3.546153846153846e+23,1.4099783080260306e-26,-25.851
9,Fluorine (F),10,19,9,4610000000000000000000000,4.2553846153846156e+24,13.000000000000002,1.114
9,Fluorine (F),10,20,10,0.003,-3.546153846153846e+23,8.459869848156182e-27,-26.073
9,Fluorine (F),10,22,12,0.001,-3.546153846153846e+23,2.819956616052061e-27,-26.55
10,Neon (Ne),10,7,-3,0.109,-18.452979999999993,0.005872218373255441,-2.231
10,Neon (Ne),10,8,-2,1.664,-16.897979999999993,0.0896456089274959,-1.047
10,Neon (Ne),10,9,-1,17.274,-1.287979999999994,0.9306119282533439,-0.031
10,Neon (Ne),10,13,3,37.14,18.578020000000006,2.0008641319514413,0.301
10,Neon (Ne),10,14,4,202.8,184.23802,10.925558588038564,1.038
10,Neon (Ne),10,15,5,0.602,-17.959979999999995,0.0324318849605484,-1.489
10,Neon (Ne),10,16,6,0.197,-18.364979999999996,0.010613091922305706,-1.974
10,Neon (Ne),10,17,7,0.032,-18.529979999999995,0.0017239540178364597,-2.763
10,Neon (Ne),10,18,8,0.02,-18.541979999999995,0.0010774712611477874,-2.968
10,Neon (Ne),10,19,9,0.015,-18.546979999999994,0.0008081034458608404,-3.093
10,Neon (Ne),10,20,10,0.007,-18.554979999999993,0.00037711494140172557,-3.424
10,Neon (Ne),10,21,11,0.003,-18.558979999999995,0.0001616206891721681,-3.792
10,Neon (Ne),10,22,12,0.004,-18.557979999999993,0.00021549425222955747,-3.667
10,Neon (Ne),10,24,14,0.001,-18.560979999999994,5.3873563057389366e-05,-4.269
11,Sodium (Na),12,9,-3,0.448,-5131517.896476875,8.730359514006e-08,-7.059
11,Sodium (Na),12,10,-2,22.422,-5131495.922476875,4.369466987121485e-06,-5.36
11,Sodium (Na),12,11,-1,82050364.8,76918846.45552312,15.989490691056762,1.204
11,Sodium (Na),12,13,1,53845.2,-5077673.144476875,0.010493034689811514,-1.979
11,Sodium (Na),12,14,2,59.1,-5131459.244476875,1.1517059091021308e-05,-4.939
11,Sodium (Na),12,15,3,1.071,-5131517.273476874,2.087101571317059e-07,-6.68
11,Sodium (Na),12,16,4,0.301,-5131518.043476875,5.865710298472781e-08,-7.232
11,Sodium (Na),12,17,5,0.03,-5131518.314476875,5.846222888843303e-09,-8.233
11,Sodium (Na),12,18,6,0.044,-5131518.300476875,8.574460236970178e-09,-8.067
11,Sodium (Na),12,19,7,0.048,-5131518.2964768745,9.353956622149285e-09,-8.029
11,Sodium (Na),12,20,8,0.017,-5131518.327476875,3.3128596370112055e-09,-8.48
11,Sodium (Na),12,21,9,0.013,-5131518.331476875,2.5333632518320978e-09,-8.596
11,Sodium (Na),12,22,10,0.008,-5131518.336476875,1.5589927703582142e-09,-8.807
11,Sodium (Na),12,23,11,0.005,-5131518.339476875,9.74370481473884e-10,-9.011
11,Sodium (Na),12,24,12,0.002,-5131518.342476875,3.8974819258955356e-10,-9.409
11,Sodium (Na),12,26,14,0.001,-5131518.343476875,1.9487409629477678e-10,-9.71
12,Magnesium (Mg),12,7,-5,0.0,-4215.424083333335,0.0,0
12,Magnesium (Mg),12,8,-4,0.093,-4215.331083333335,2.2061837234288538e-05,-4.656
12,Magnesium (Mg),12,9,-3,0.119,-4215.3050833333355,2.822966269763802e-05,-4.549
12,Magnesium (Mg),12,10,-2,3.876,-4211.548083333335,0.0009194804421516384,-3.036
12,Magnesium (Mg),12,11,-1,11.317,-4204.107083333335,0.0026846646449510043,-2.571
12,Magnesium (Mg),12,15,3,566.1,-3649.3240833333352,0.13429253826162088,-0.872
12,Magnesium (Mg),12,16,4,75294.0,71078.57591666667,17.86154809374754,1.252
12,Magnesium (Mg),12,17,5,1.3,-4214.124083333335,0.0003083912731674742,-3.511
12,Magnesium (Mg),12,18,6,0.313,-4215.111083333335,7.425112961647648e-05,-4.129
12,Magnesium (Mg),12,19,7,0.236,-4215.188083333335,5.5984877282710694e-05,-4.252
12,Magnesium (Mg),12,20,8,0.086,-4215.338083333335,2.040126884030983e-05,-4.69
12,Magnesium (Mg),12,21,9,0.09,-4215.334083333335,2.135016506544052e-05,-4.671
12,Magnesium (Mg),12,22,10,0.02,-4215.404083333335,4.744481125653449e-06,-5.324
12,Magnesium (Mg),12,23,11,0.07,-4215.354083333335,1.6605683939787073e-05,-4.78
12,Magnesium (Mg),12,24,12,0.004,-4215.420083333335,9.488962251306898e-07,-6.023
12,Magnesium (Mg),12,25,13,0.008,-4215.416083333335,1.8977924502613795e-06,-5.722
12,Magnesium (Mg),12,26,14,0.001,-4215.423083333335,2.3722405628267244e-07,-6.625
12,Magnesium (Mg),12,28,16,0.001,-4215.423083333335,2.3722405628267244e-07,-6.625
13,Aluminium (Al),14,9,-5,0.091,-1076879314311.4645,8.450343394159812e-14,-13.073
13,Aluminium (Al),14,10,-4,0.47,-1076879314311.0854,4.3644630717089134e-13,-12.36
13,Aluminium (Al),14,11,-3,2.053,-1076879314309.5024,1.906434614089021e-12,-11.72
13,Aluminium (Al),14,12,-2,7.183,-1076879314304.3724,6.670199626401091e-12,-11.176
13,Aluminium (Al),14,13,-1,22614465600000.0,21537586285688.445,20.999999999496076,1.322
13,Aluminium (Al),14,15,1,134.7,-1076879314176.8555,1.2508365441684906e-10,-9.903
13,Aluminium (Al),14,16,2,393.6,-1076879313917.9554,3.655005670265167e-10,-9.437
13,Aluminium (Al),14,17,3,3.62,-1076879314307.9354,3.361565174380057e-12,-11.473
13,Aluminium (Al),14,18,4,0.644,-1076879314310.9114,5.980243017405405e-13,-12.223
13,Aluminium (Al),14,19,5,0.033,-1076879314311.5225,3.0644102418381736e-14,-13.514
13,Aluminium (Al),14,20,6,0.042,-1076879314311.5134,3.900158489612221e-14,-13.409
13,Aluminium (Al),14,21,7,0.056,-1076879314311.4994,5.2002113194829614e-14,-13.284
13,Aluminium (Al),14,22,8,0.037,-1076879314311.5184,3.435853907515528e-14,-13.464
13,Aluminium (Al),14,23,9,0.09,-1076879314311.4655,8.357482477740473e-14,-13.078
13,Aluminium (Al),14,24,10,0.011,-1076879314311.5444,1.0214700806127244e-14,-13.991
13,Aluminium (Al),14,25,11,0.009,-1076879314311.5464,8.357482477740473e-15,-14.078
13,Aluminium (Al),14,26,12,0.008,-1076879314311.5474,7.428873313547087e-15,-14.129
13,Aluminium (Al),14,27,13,0.01,-1076879314311.5454,9.28609164193386e-15,-14.032
13,Aluminium (Al),14,28,14,0.002,-1076879314311.5535,1.8572183283867717e-15,-14.731
13,Aluminium (Al),14,29,15,0.001,-1076879314311.5544,9.286091641933858e-16,-15.032
13,Aluminium (Al),14,30,16,0.001,-1076879314311.5544,9.286091641933858e-16,-15.032
14,Silicon (Si),14,8,-6,0.029,-241250872.91723007,1.2020681892605426e-10,-9.92
14,Silicon (Si),14,9,-5,0.042,-241250872.9042301,1.7409263430669926e-10,-9.759
14,Silicon (Si),14,10,-4,0.14,-241250872.8062301,5.803087810223309e-10,-9.236
14,Silicon (Si),14,11,-3,0.22,-241250872.72623008,9.119137987493771e-10,-9.04
14,Silicon (Si),14,12,-2,2.245,-241250870.70123008,9.305665809965235e-09,-8.031
14,Silicon (Si),14,13,-1,4.15,-241250868.79623008,1.7202010294590522e-08,-7.764
14,Silicon (Si),14,17,3,9441.6,-241241431.3462301,3.9136024192145994e-05,-4.407
14,Silicon (Si),14,18,4,4825008000.0,4583757127.05377,19.99996079216425,1.301
14,Silicon (Si),14,19,5,6.18,-241250866.76623008,2.561648761941432e-08,-7.591
14,Silicon (Si),14,20,6,2.77,-241250870.17623007,1.1481823738798974e-08,-7.94
14,Silicon (Si),14,21,7,0.78,-241250872.16623008,3.2331489228387005e-09,-8.49
14,Silicon (Si),14,22,8,0.45,-241250872.4962301,1.865278224714635e-09,-8.729
14,Silicon (Si),14,23,9,0.09,-241250872.85623008,3.7305564494292696e-10,-9.428
14,Silicon (Si),14,24,10,0.09,-241250872.85623008,3.7305564494292696e-10,-9.428
14,Silicon (Si),14,25,11,0.048,-241250872.89823008,1.9896301063622772e-10,-9.701
14,Silicon (Si),14,26,12,0.033,-241250872.9132301,1.3678706981240658e-10,-9.864
14,Silicon (Si),14,27,13,0.02,-241250872.92623007,8.290125443176156e-11,-10.081
14,Silicon (Si),14,28,14,0.013,-241250872.93323007,5.388581538064501e-11,-10.269
14,Silicon (Si),14,29,15,0.015,-241250872.9312301,6.217594082382117e-11,-10.206
14,Silicon (Si),14,30,16,0.01,-241250872.9362301,4.145062721588078e-11,-10.382
15,Phosphorus (P),16,11,-5,0.044,-11.720515789473684,0.0037400604315027614,-2.427
15,Phosphorus (P),16,12,-4,0.26,-11.504515789473684,0.022100357095243592,-1.656
15,Phosphorus (P),16,13,-3,0.27,-11.494515789473684,0.02295037082967604,-1.639
15,Phosphorus (P),16,14,-2,4.142,-7.622515789473684,0.3520756888019191,-0.453
15,Phosphorus (P),16,15,-1,149.88,138.11548421052632,12.740005851673498,1.105
15,Phosphorus (P),16,19,3,12.43,0.6654842105263157,1.0565670718995301,0.024
15,Phosphorus (P),16,20,4,47.3,35.53548421052631,4.020564963865469,0.604
15,Phosphorus (P),16,21,5,5.6,-6.164515789473684,0.47600769128216963,-0.322
15,Phosphorus (P),16,22,6,2.31,-9.454515789473684,0.196353172653895,-0.707
15,Phosphorus (P),16,23,7,0.64,-11.124515789473683,0.05440087900367654,-1.264
15,Phosphorus (P),16,24,8,0.282,-11.482515789473684,0.023970387310994972,-1.62
15,Phosphorus (P),16,25,9,0.15,-11.614515789473684,0.012750206016486687,-1.894
15,Phosphorus (P),16,26,10,0.101,-11.663515789473683,0.008585138717767704,-2.066
15,Phosphorus (P),16,27,11,0.049,-11.715515789473685,0.004165067298718985,-2.38
15,Phosphorus (P),16,28,12,0.036,-11.728515789473684,0.003060049443956805,-2.514
15,Phosphorus (P),16,29,13,0.018,-11.746515789473683,0.0015300247219784025,-2.815
15,Phosphorus (P),16,30,14,0.008,-11.756515789473685,0.0006800109875459567,-3.167
15,Phosphorus (P),16,31,15,0.004,-11.760515789473684,0.00034000549377297834,-3.469
15,Phosphorus (P),16,32,16,0.002,-11.762515789473683,0.00017000274688648917,-3.77
16,Sulfur (S),16,11,-5,0.015,-703.2414533333332,2.1329345687340917e-05,-4.671
16,Sulfur (S),16,12,-4,0.125,-703.1314533333332,0.00017774454739450765,-3.75
16,Sulfur (S),16,13,-3,0.188,-703.0684533333332,0.0002673277992813395,-3.573
16,Sulfur (S),16,14,-2,1.176,-702.0804533333331,0.001672220701887528,-2.777
16,Sulfur (S),16,15,-1,2.553,-700.7034533333332,0.0036302546359854243,-2.44
16,Sulfur (S),16,21,5,303.0,-400.2564533333332,0.4308527828842866,-0.366
16,Sulfur (S),16,22,6,10218.0,9514.743546666667,14.529550282216634,1.162
16,Sulfur (S),16,23,7,11.5,-691.7564533333332,0.016352498360294704,-1.786
16,Sulfur (S),16,24,8,8.8,-694.4564533333332,0.01251321613657334,-1.903
16,Sulfur (S),16,25,9,1.99,-701.2664533333332,0.002829693194520562,-2.548
16,Sulfur (S),16,26,10,1.016,-702.2404533333332,0.0014447076812225583,-2.84
16,Sulfur (S),16,27,11,0.265,-702.9914533333332,0.00037681844047635625,-3.424
16,Sulfur (S),16,28,12,0.1,-703.1564533333332,0.00014219563791560612,-3.847
16,Sulfur (S),16,29,13,0.068,-703.1884533333332,9.669303378261217e-05,-4.015
16,Sulfur (S),16,30,14,0.05,-703.2064533333332,7.109781895780306e-05,-4.148
17,Chlorine (Cl),18,14,-4,0.19,-500111166617.7957,3.799155321503412e-13,-12.42
17,Chlorine (Cl),18,15,-3,0.298,-500111166617.68774,5.958675188463246e-13,-12.225
17,Chlorine (Cl),18,16,-2,2.504,-500111166615.4817,5.006886802655023e-12,-11.3
17,Chlorine (Cl),18,17,-1,1.527,-500111166616.45874,3.053321145229321e-12,-11.515
17,Chlorine (Cl),18,19,1,9502112160000.0,9002000993382.014,18.999999988519097,1.279
17,Chlorine (Cl),18,21,3,2234.4,-500111164383.5857,4.467806658088013e-09,-8.35
17,Chlorine (Cl),18,22,4,3372.0,-500111163245.9857,6.742500917952371e-09,-8.171
17,Chlorine (Cl),18,23,5,81.0,-500111166536.9857,1.6196399002198756e-10,-9.791
17,Chlorine (Cl),18,24,6,38.4,-500111166579.5857,7.678292860301632e-11,-10.115
17,Chlorine (Cl),18,25,7,6.8,-500111166611.1857,1.3596976940117474e-11,-10.867
17,Chlorine (Cl),18,26,8,3.13,-500111166614.8557,6.258608503318779e-12,-11.204
17,Chlorine (Cl),18,27,9,0.56,-500111166617.4257,1.1197510421273216e-12,-11.951
17,Chlorine (Cl),18,28,10,0.413,-500111166617.5727,8.258163935688995e-13,-12.083
17,Chlorine (Cl),18,29,11,0.232,-500111166617.7537,4.638968603098904e-13,-12.334
17,Chlorine (Cl),18,30,12,0.101,-500111166617.8847,2.0195509866939191e-13,-12.695
17,Chlorine (Cl),18,31,13,0.1,-500111166617.88574,1.999555432370217e-13,-12.699
17,Chlorine (Cl),18,32,14,0.05,-500111166617.9357,9.997777161851085e-14,-13.0
17,Chlorine (Cl),18,33,15,0.02,-500111166617.9657,3.999110864740434e-14,-13.398
17,Chlorine (Cl),18,34,16,0.002,-500111166617.9837,3.9991108647404335e-15,-14.398
18,Argon (Ar),22,13,-9,0.015,-501090844.5031844,2.993469181106871e-11,-10.524
18,Argon (Ar),22,14,-8,0.098,-501090844.4201844,1.955733198323156e-10,-9.709
18,Argon (Ar),22,15,-7,0.173,-501090844.3451844,3.4524677888765916e-10,-9.462
18,Argon (Ar),22,16,-6,0.844,-501090843.6741844,1.6843253259027997e-09,-8.774
18,Argon (Ar),22,17,-5,1.776,-501090842.74218434,3.544267510430536e-09,-8.45
18,Argon (Ar),22,21,-1,8483184000.0,7982093155.481815,16.929433241105944,1.229
18,Argon (Ar),22,23,1,6576.6,-501084267.91818434,1.3124566277644967e-05,-4.882
18,Argon (Ar),22,24,2,1037534400.0,536443555.48181564,2.0705515004921393,0.316
18,Argon (Ar),22,25,3,322.2,-501090522.3181844,6.429971801017559e-07,-6.192
18,Argon (Ar),22,26,4,712.2,-501090132.3181844,1.4212991671895426e-06,-5.847
18,Argon (Ar),22,27,5,21.48,-501090823.03818434,4.28664786734504e-08,-7.368
18,Argon (Ar),22,28,6,8.4,-501090836.1181844,1.6763427414198482e-08,-7.776
18,Argon (Ar),22,29,7,1.23,-501090843.28818434,2.4546447285076345e-09,-8.61
18,Argon (Ar),22,30,8,0.415,-501090844.10318434,8.281931401062344e-10,-9.082
18,Argon (Ar),22,31,9,0.236,-501090844.28218436,4.709724844941477e-10,-9.327
18,Argon (Ar),22,32,10,0.106,-501090844.41218436,2.115384887982189e-10,-9.675
18,Argon (Ar),22,33,11,0.06,-501090844.45818436,1.1973876724427485e-10,-9.922
18,Argon (Ar),22,34,12,0.01,-501090844.5081844,1.9956461207379143e-11,-10.7
18,Argon (Ar),22,35,13,0.003,-501090844.51518434,5.986938362213743e-12,-11.223
19,Potassium (K),20,16,-4,0.178,-1968004080006387.0,9.044696695924649e-17,-16.044
19,Potassium (K),20,17,-3,0.341,-1968004080006387.0,1.7327199850057896e-16,-15.761
19,Potassium (K),20,18,-2,1.236,-1968004080006386.0,6.280474784361161e-16,-15.202
19,Potassium (K),20,19,-1,458.16,-1968004080005929.0,2.3280439540476617e-13,-12.633
19,Potassium (K),20,21,1,3.93600816e+16,3.739207751999362e+16,19.99999999993509,1.301
19,Potassium (K),20,23,3,44478.0,-1968004079961909.2,2.2600562901198682e-11,-10.646
19,Potassium (K),20,24,4,80280.0,-1968004079926107.2,4.079259835667589e-11,-10.389
19,Potassium (K),20,25,5,1327.8,-1968004080005059.5,6.746937231937499e-13,-12.171
19,Potassium (K),20,26,6,1068.0,-1968004080005319.2,5.42681801755479e-13,-12.265
19,Potassium (K),20,27,7,105.0,-1968004080006282.2,5.335354792539821e-14,-13.273
19,Potassium (K),20,28,8,17.5,-1968004080006369.8,8.892257987566368e-15,-14.051
19,Potassium (K),20,29,9,6.8,-1968004080006380.5,3.4552773894543604e-15,-14.462
19,Potassium (K),20,30,10,1.26,-1968004080006386.0,6.402425751047785e-16,-15.194
19,Potassium (K),20,31,11,0.472,-1968004080006386.8,2.398369011503615e-16,-15.62
19,Potassium (K),20,32,12,0.365,-1968004080006387.0,1.854670951692414e-16,-15.732
19,Potassium (K),20,33,13,0.11,-1968004080006387.2,5.589419306470289e-17,-16.253
19,Potassium (K),20,34,14,0.03,-1968004080006387.2,1.524387083582806e-17,-16.817
19,Potassium (K),20,35,15,0.01,-1968004080006387.2,5.081290278609354e-18,-17.294
19,Potassium (K),20,36,16,0.003,-1968004080006387.2,1.5243870835828061e-18,-17.817
19,Potassium (K),20,37,17,0.001,-1968004080006387.2,5.081290278609353e-19,-18.294
20,Calcium (Ca),20,15,-5,0.026,-184411397679.60834,1.4098911632982723e-13,-12.851
20,Calcium (Ca),20,16,-4,0.101,-184411397679.53333,5.476884903581751e-13,-12.261
20,Calcium (Ca),20,17,-3,0.181,-184411397679.45334,9.815011559884127e-13,-12.008
20,Calcium (Ca),20,18,-2,0.444,-184411397679.19034,2.407660294247819e-12,-11.618
20,Calcium (Ca),20,19,-1,0.86,-184411397678.77435,4.663486155525055e-12,-11.331
20,Calcium (Ca),20,21,1,3134993760000.0,2950582362320.3657,16.99999999699702,1.23
20,Calcium (Ca),20,26,6,stable,stable,stable,stable
20,Calcium (Ca),20,29,9,523.08,-184411397156.55435,2.836484114223309e-09,-8.547
20,Calcium (Ca),20,30,10,13.9,-184411397665.73434,7.53749506532538e-11,-10.123
20,Calcium (Ca),20,31,11,10.0,-184411397669.63434,5.422658320377971e-11,-10.266
20,Calcium (Ca),20,32,12,4.6,-184411397675.03433,2.4944228273738665e-11,-10.603
20,Calcium (Ca),20,33,13,0.461,-184411397679.17334,2.499845485694245e-12,-11.602
20,Calcium (Ca),20,34,14,0.09,-184411397679.54434,4.880392488340174e-13,-12.312
20,Calcium (Ca),20,35,15,0.022,-184411397679.61234,1.1929848304831535e-13,-12.923
20,Calcium (Ca),20,36,16,0.011,-184411397679.62335,5.964924152415768e-14,-13.224
20,Calcium (Ca),20,37,17,0.005,-184411397679.62933,2.7113291601889856e-14,-13.567
20,Calcium (Ca),20,38,18,0.003,-184411397679.63135,1.6267974961133913e-14,-13.789
21,Scandium (Sc),24,19,-5,0.182,-11121.641817647058,1.6364222539761834e-05,-4.786
21,Scandium (Sc),24,20,-4,0.596,-11121.227817647059,5.35883331521871e-05,-4.271
21,Scandium (Sc),24,21,-3,0.681,-11121.142817647058,6.123096455811983e-05,-4.213
21,Scandium (Sc),24,22,-2,14007.6,2885.7761823529418,1.25946969037345,0.1
21,Scandium (Sc),24,23,-1,14292.0,3170.1761823529414,1.285041035924594,0.109
21,Scandium (Sc),24,27,3,157212.0,146090.17618235294,14.135451395170534,1.15
21,Scandium (Sc),24,28,4,3432.0,-7689.823817647059,0.308582482178366,-0.511
21,Scandium (Sc),24,29,5,102.5,-11019.323817647059,0.009216114342448286,-2.035
21,Scandium (Sc),24,30,6,12.4,-11109.423817647059,0.0011149250521595975,-2.953
21,Scandium (Sc),24,31,7,8.2,-11113.623817647058,0.0007372891473958628,-3.132
21,Scandium (Sc),24,32,8,2.4,-11119.423817647059,0.00021579194557927691,-3.666
21,Scandium (Sc),24,33,9,0.26,-11121.563817647058,2.3377460771088334e-05,-4.631
21,Scandium (Sc),24,34,10,0.115,-11121.708817647059,1.0340030725673686e-05,-4.985
21,Scandium (Sc),24,35,11,0.035,-11121.788817647059,3.146965873031122e-06,-5.502
21,Scandium (Sc),24,36,12,0.013,-11121.810817647058,1.1688730385544167e-06,-5.932
21,Scandium (Sc),24,37,13,0.012,-11121.811817647058,1.0789597278963846e-06,-5.967
21,Scandium (Sc),24,38,14,0.01,-11121.813817647058,8.991331065803205e-07,-6.046
22,Titanium (Ti),26,17,-9,0.031,-99587977.41666842,3.11282554325294e-10,-9.507
22,Titanium (Ti),26,18,-8,0.053,-99587977.39466842,5.32192754169051e-10,-9.274
22,Titanium (Ti),26,19,-7,0.08,-99587977.36766842,8.03309817613662e-10,-9.095
22,Titanium (Ti),26,20,-6,0.199,-99587977.24866842,1.998233171313984e-09,-8.699
22,Titanium (Ti),26,21,-5,0.509,-99587976.93866841,5.111058714566924e-09,-8.291
22,Titanium (Ti),26,22,-4,1892160000.0,1792572022.5523317,18.999883806198334,1.279
22,Titanium (Ti),26,23,-3,11088.0,-99576889.44766842,0.00011133874072125355,-3.953
22,Titanium (Ti),26,29,3,345.6,-99587631.84766842,3.47029841209102e-06,-5.46
22,Titanium (Ti),26,30,4,102.0,-99587875.44766842,1.0242200174574191e-06,-5.99
22,Titanium (Ti),26,31,5,32.7,-99587944.74766842,3.283528879495844e-07,-6.484
22,Titanium (Ti),26,32,6,1.5,-99587975.94766842,1.5062059080256162e-08,-7.822
22,Titanium (Ti),26,33,7,0.49,-99587976.95766842,4.92027263288368e-09,-8.308
22,Titanium (Ti),26,34,8,0.164,-99587977.28366841,1.6467851261080071e-09,-8.783
22,Titanium (Ti),26,35,9,0.06,-99587977.38766842,6.024823632102464e-10,-9.22
22,Titanium (Ti),26,36,10,0.054,-99587977.39366841,5.422341268892219e-10,-9.266
22,Titanium (Ti),26,37,11,0.03,-99587977.41766842,3.012411816051232e-10,-9.521
22,Titanium (Ti),26,38,12,0.022,-99587977.42566842,2.2091019984375704e-10,-9.656
22,Titanium (Ti),26,40,14,0.01,-99587977.43766841,1.0041372720170775e-10,-9.998
22,Titanium (Ti),26,41,15,0.003,-99587977.44466841,3.0124118160512324e-11,-10.521
23,Vanadium (V),28,20,-8,0.08,-2.223288e+23,3.5982742676612297e-25,-24.444
23,Vanadium (V),28,21,-7,0.111,-2.223288e+23,4.992605546379956e-25,-24.302
23,Vanadium (V),28,22,-6,0.547,-2.223288e+23,2.4603200305133657e-24,-23.609
23,Vanadium (V),28,23,-5,0.422,-2.223288e+23,1.8980896761912986e-24,-23.722
23,Vanadium (V),28,24,-4,1956.0,-2.223288e+23,8.797780584431706e-21,-20.056
23,Vanadium (V),28,27,-1,4.446576e+24,4.2242472e+24,20.0,1.301
23,Vanadium (V),28,29,1,224.58,-2.223288e+23,1.0101255437891986e-21,-20.996
23,Vanadium (V),28,30,2,96.0,-2.223288e+23,4.317929121193475e-22,-21.365
23,Vanadium (V),28,31,3,49.8,-2.223288e+23,2.2399257316191154e-22,-21.65
23,Vanadium (V),28,32,4,6.54,-2.223288e+23,2.9415892138130553e-23,-22.531
